2024-07-19 00:09:59 200 [GET /api/v1/summoners/search?q=%ED%83%80+%EC%9E%94-KR1&region=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/search?q=%25ED%2583%2580%2520%25EC%259E%2594-KR1&region=kr] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 410]
2024-07-19 00:10:40 200 [GET /api/v1/summoners/search?q=%ED%83%80+%EC%9E%94-KR1&region=KR HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/search?q=%25ED%2583%2580%2520%25EC%259E%2594-KR1&region=KR] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 410]
2024-07-19 00:10:56 200 [GET /api/v1/summoners/search?q=%ED%83%80+%EC%9E%94-KR1&region=KR HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/search?q=%25ED%2583%2580%2520%25EC%259E%2594-KR1&region=KR] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 410]
2024-07-19 00:12:37 200 [GET /api/v1/summoners/search?q=%ED%83%80+%EC%9E%94-KR1&region=KR HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/search?q=%25ED%2583%2580%2520%25EC%259E%2594-KR1&region=KR] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 410]
2024-07-19 00:12:48 200 [GET /api/v1/summoners/search?q=%ED%83%80+%EC%9E%94-KR1&region=KR HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/search?q=%25ED%2583%2580%2520%25EC%259E%2594-KR1&region=KR] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 402]
2024-07-19 00:12:56 200 [GET /api/v1/summoners/search?q=%ED%83%80+%EC%9E%94-KR1&region=KR HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/search?q=%25ED%2583%2580%2520%25EC%259E%2594-KR1&region=KR] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 402]
2024-07-19 00:13:07 200 [GET /api/v1/summoners/search?q=%ED%83%80+%EC%9E%94-KR1&region=KR HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/search?q=%25ED%2583%2580%2520%25EC%259E%2594-KR1&region=KR] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 410]
2024-07-19 00:27:00 200 [GET /api/v1/summoners/search?q=%ED%83%80+%EC%9E%94-KR1&region=KR HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/search?q=%25ED%2583%2580%2520%25EC%259E%2594-KR1&region=KR] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 410]
2024-07-19 00:29:02 200 [GET /api/v1/summoners/search?q=%ED%83%80+%EC%9E%94-KR1&region=KR HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/search?q=%25ED%2583%2580%2520%25EC%259E%2594-KR1&region=KR] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 410]
2024-07-19 00:29:32 200 [GET /api/v1/summoners/search?q=%ED%83%80+%EC%9E%94-KR1&region=KR HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/search?q=%25ED%2583%2580%2520%25EC%259E%2594-KR1&region=KR] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 402]
2024-07-19 00:29:32 200 [GET /api/v1/summoners/search?q=%ED%83%80+%EC%9E%94-KR1&region=KR HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/search?q=%25ED%2583%2580%2520%25EC%259E%2594-KR1&region=KR] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 402]
