2024-07-15 23:35:21 200 [GET /api/v1/rank/champions?puuid=xg4--nwFr5exmYqoiW0Vt6s_a9NTpR80XgeeKyDogwTuMsqzGzchCwE0z3UfRNWZGCEPM8DCiSY6vA&season=23&platform=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Blue-KR33] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 807]
2024-07-15 23:35:21 200 [GET /api/v1/leagues/by-summoner/7Nx_4o5-DPJZ2fxLS5zblNkYQ3TZ2kCHN__ghOONlEgBPas HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Blue-KR33] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 166]
2024-07-15 23:35:22 200 [GET /api/v1/matches?puuid=xg4--nwFr5exmYqoiW0Vt6s_a9NTpR80XgeeKyDogwTuMsqzGzchCwE0z3UfRNWZGCEPM8DCiSY6vA&pageNo=0&platform=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Blue-KR33] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 309546]
2024-07-15 23:36:37 500 [GET /api/v1/summoners/kr/%ED%83%80%EC%9E%94 HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Blue-KR33] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 150]
2024-07-15 23:36:57 500 [GET /api/v1/summoners/kr/%ED%83%80 HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Blue-KR33] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 141]
2024-07-15 23:37:19 500 [GET /api/v1/summoners/kr/%ED%83%80%20%EC%9E%94 HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Blue-KR33] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 153]
2024-07-15 23:37:23 500 [GET /api/v1/summoners/kr/%ED%83%80 HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Blue-KR33] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 141]
2024-07-15 23:37:29 500 [GET /api/v1/summoners/kr/%ED%83%80 HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Blue-KR33] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 141]
2024-07-15 23:37:35 404 [GET /api/v1/summoners/kr/ HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Blue-KR33] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 120]
2024-07-15 23:37:53 500 [GET /api/v1/summoners/kr/%ED%83%80%EC%9E%94 HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Blue-KR33] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 150]
2024-07-15 23:37:53 500 [GET /api/v1/summoners/kr/%ED%83%80 HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Blue-KR33] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 141]
2024-07-15 23:57:49 500 [GET /api/v1/summoners/kr/%ED%83%8077 HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Blue-KR33] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 143]
2024-07-15 23:58:08 500 [GET /api/v1/summoners/kr/%ED%83%80 HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 141]
2024-07-15 23:58:11 404 [GET /api/v1/summoners/kr/ HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 120]
2024-07-15 23:59:27 500 [GET /api/v1/summoners/autocomplete?q=xk&region=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 141]
2024-07-15 23:59:29 500 [GET /api/v1/summoners/autocomplete?q=%ED%83%80&region=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 141]
2024-07-15 23:59:32 500 [GET /api/v1/summoners/autocomplete?q=&region=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 141]
2024-07-15 23:59:35 500 [GET /api/v1/summoners/autocomplete?q=%ED%83%80&region=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 141]
2024-07-15 23:59:37 500 [GET /api/v1/summoners/autocomplete?q=&region=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 141]
